Theoretical Total Time,36.244578742980956
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,36.244578742980956,36.244578742980956
 , ,P2,0.787925624847412,31.517024993896484,30.72909936904907
 , ,P3,1.575851249694824,22.84984312057495,21.273991870880124
 , ,P4,2.363776874542236,8.667181873321534,6.303404998779296
 , ,P5,3.151702499389648,9.455107498168944,6.303404998779296
 , ,P6,3.9396281242370605,10.243033123016357,6.303404998779296
 , ,P7,5.515479373931885,29.153248119354245,23.637768745422363
Real Total Time,37.0873281955719
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,37.0873281955719,37.0873281955719
 , ,P2,0.7519567012786865,32.69452118873596,31.942564487457275
 , ,P3,2.366089105606079,23.19115900993347,20.825069904327393
 , ,P4,3.182551383972168,8.796599864959717,5.614048480987549
 , ,P5,3.932056188583374,9.613708972930908,5.681652784347534
 , ,P6,4.8269853591918945,10.494805812835693,5.667820453643799
 , ,P7,10.49505877494812,31.040077924728394,20.545019149780273
Error (Real-Theoretical) Total Time,0.8427494525909438
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,22962.912671804428,0.8427494525909438
 , ,P2,499.2480432987213,19967.305478811264,1.2134651184082053
 , ,P3,997.6339108943939,14476.808840990067,0.44892196655273153
 , ,P4,1496.8174486160278,5491.20340013504,0.6893565177917473
 , ,P5,1996.0679438114166,5990.386291027069,0.621752214431762
 , ,P6,2495.173014640808,6489.505194187164,0.6355845451354973
 , ,P7,3489.504941225052,18468.95992207527,3.09274959564209
