Theoretical Total Time,36.244578742980956
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,12.606809997558592,12.606809997558592
 , ,P2,12.606809997558592,20.486066246032713,7.879256248474121
 , ,P3,20.486066246032713,25.213619995117185,4.727553749084472
 , ,P4,25.213619995117185,26.78947124481201,1.575851249694824
 , ,P5,26.78947124481201,28.365322494506835,1.575851249694824
 , ,P6,28.365322494506835,29.94117374420166,1.575851249694824
 , ,P7,29.94117374420166,36.244578742980956,6.303404998779296
Real Total Time,37.36536526679993
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,12.932023048400879,12.932023048400879
 , ,P2,12.932440519332886,21.115939617156982,8.183499097824097
 , ,P3,21.116305828094482,25.951656341552734,4.835350513458252
 , ,P4,25.95199680328369,27.54802131652832,1.596024513244629
 , ,P5,27.548373222351074,29.110578775405884,1.5622055530548096
 , ,P6,29.110949754714966,30.70572328567505,1.594773530960083
 , ,P7,30.706139087677002,37.36536526679993,6.659226179122925
Error (Real-Theoretical) Total Time,1.1207865238189711
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,0.3252130508422866,0.3252130508422866
 , ,P2,0.3256305217742934,0.629873371124269,0.3042428493499756
 , ,P3,0.630239582061769,0.7380363464355497,0.10779676437377983
 , ,P4,0.7383768081665067,0.7585500717163107,0.020173263549804865
 , ,P5,0.7589019775390646,0.7452562808990493,-0.01364569664001447
 , ,P6,0.7456272602081313,0.7645495414733894,0.018922281265258967
 , ,P7,0.7649653434753425,1.1207865238189711,0.35582118034362864
