Theoretical Total Time,3.9396281242370605
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,0.787925624847412,0.787925624847412
 , ,P2,0.787925624847412,1.575851249694824,0.787925624847412
 , ,P3,1.575851249694824,2.363776874542236,0.787925624847412
 , ,P4,2.363776874542236,3.151702499389648,0.787925624847412
 , ,P5,3.151702499389648,3.9396281242370605,0.787925624847412
Real Total Time,3.9858362674713135
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,0.7670764923095703,0.7670764923095703
 , ,P2,0.7673842906951904,1.538637638092041,0.7712533473968506
 , ,P3,1.539086103439331,2.370887041091919,0.8318009376525879
 , ,P4,2.371169328689575,3.1862993240356445,0.8151299953460693
 , ,P5,3.1865577697753906,3.9858362674713135,0.7992784976959229
Error (Real-Theoretical) Total Time,0.04620814323425293
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,499.23292350769043,0.020849132537841708
 , ,P2,499.2326157093048,998.461362361908,0.016672277450561435
 , ,P3,998.4609138965607,1497.629112958908,0.04387531280517587
 , ,P4,1497.6288306713104,1996.8137006759644,0.027204370498657315
 , ,P5,1996.8134422302246,2496.0141637325287,0.011352872848510831
