Theoretical Total Time,50.45875701522827
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,4.727553749084472,4.727553749084472
 , ,P2,17.365880771636963,25.245137020111084,7.879256248474121
 , ,P3,25.245137020111084,36.27609576797485,11.03095874786377
 , ,P4,4.727553749084472,4.743312261581421,0.015758512496948242
 , ,P5,4.743312261581421,4.759070774078369,0.015758512496948242
 , ,P6,4.759070774078369,11.062475772857665,6.303404998779296
 , ,P7,11.062475772857665,17.365880771636963,6.303404998779296
 , ,P8,36.27609576797485,50.45875701522827,14.182661247253417
Real Total Time,52.19026470184326
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,5.042431592941284,5.042431592941284
 , ,P2,5.058964729309082,12.922243118286133,7.863278388977051
 , ,P3,12.922611474990845,37.62945914268494,24.706847667694092
 , ,P4,5.043064594268799,5.058664560317993,0.015599966049194336
 , ,P5,12.922660112380981,12.93850588798523,0.015845775604248047
 , ,P6,12.938967227935791,19.331958055496216,6.392990827560425
 , ,P7,19.33237051963806,25.812400102615356,6.480029582977295
 , ,P8,37.63519263267517,52.19026470184326,14.55507206916809
Error (Real-Theoretical) Total Time,1.7315076866149894
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,0.31487784385681206,0.31487784385681206
 , ,P2,-12.306916042327881,-12.322893901824951,-0.015977859497070312
 , ,P3,-12.32252554512024,1.353363374710085,13.675888919830323
 , ,P4,0.3155108451843267,0.3153522987365722,-0.00015854644775390586
 , ,P5,8.17934785079956,8.17943511390686,8.726310729980508e-05
 , ,P6,8.179896453857422,8.26948228263855,0.08958582878112864
 , ,P7,8.269894746780396,8.446519330978393,0.17662458419799876
 , ,P8,1.3590968647003194,1.7315076866149894,0.37241082191467356
